#gp_printername,vid,pid,type,gp_options
#
# The goal here is to cover unique models within gutenprint itself.
# All print sizes need to be covered.
#
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h432;StpPrintSpeed=UltraFine
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h576;StpLaminate=Matte
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h576;StpUseLUT=True
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h576;StpSharpen=0
mitsubishi-d70dw,0x06d3,0x3b30,0xf,PageSize=w432h576;StpSharpen=9
mitsubishi-d70dw,0x06d3,0x3b30,0x4,PageSize=w360h360
mitsubishi-d70dw,0x06d3,0x3b30,0x4,PageSize=w360h504
#
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w288h432
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w288h432-div2
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h432
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h576
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h576-div2
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h432;StpPrintSpeed=Fine
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h432;StpPrintSpeed=UltraFine
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h576;StpLaminate=Matte
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h576;StpUseLUT=True
fujifilm-ask-300,0x04cb,0x5006,0xf,PageSize=w432h576;StpSharpen=0
